Varve range,Bottom varve,Bottom year,Biogenic silica %,,Varve range,Bottom varve,Bottom year,Biogenic silica %
2007,-6,2007,16.69,, 117-119,119,1883,8.17
2006,-5,2006,16.16,, 119-121,121,1881,10.71
2005,-4,2005,8.98,, 121-123,123,1879,15.04
2004,-3,2004,19.30,, 123-125,125,1877,11.28
2003,-2,2003,17.62,, 125-127,127,1875,9.82
2002,-1,2002,10.93,, 127-129,129,1873,11.55
0,0,2001,10.64,,129-131,131,1871,12.02
1,1,2000,10.17,,131-133,133,1869,12.82
2,2,1999,10.79,,133-135,135,1867,20.22
3,3,1998,8.69,,135-137,137,1865,11.79
4,4,1997,7.02,,137-139,139,1863,9.01
5,5,1996,9.06,,139-141,141,1861,12.68
6,6,1995,8.54,,141-143,143,1859,13.49
7,7,1994,7.59,,143-145,145,1857,18.26
 7-9,9,1993,7.79,,145-147,147,1855,14.36
 9-11,11,1991,6.65,,147-149,149,1853,11.61
 11-13,13,1989,9.28,,149-151,151,1851,9.40
 13-15,15,1987,10.06,,151-153,153,1849,11.68
 15-17,17,1985,9.42,,153-155,155,1847,10.87
 17-19,19,1983,7.37,,155-157,157,1845,10.18
 19-21,21,1981,8.01,,157-159,159,1843,11.42
 21-23,23,1979,8.81,,159-161,161,1841,10.80
 23-25,25,1977,9.90,,161-163,163,1839,10.56
 25-27,27,1975,8.13,,163-165,165,1837,11.21
 27-29,29,1973,6.90,,165-167,167,1835,9.00
 29-31,31,1971,6.92,,167-168.5,168.5,1833.5,9.36
 31-33,33,1969,6.95,,168.5-170,170,1832,9.65
 33-35,35,1967,6.90,,170d-172,172,1830,9.45
 35-37,37,1965,9.27,,172-174,174,1828,10.02
 37-39,39,1963,11.09,,174-176,176,1826,9.28
 39-41,41,1961,10.16,,176-178,178,1824,8.83
 41-43,43,1959,7.93,,178-180,180,1822,8.62
 43-45,45,1957,7.85,,180-182,182,1820,9.31
 45-47,47,1955,8.16,,182-184,184,1818,9.10
 47-49,49,1953,8.41,,184-186,186,1816,9.98
 49-51,51,1951,8.11,,186-188,188,1814,10.48
 51-53,53,1949,6.83,,188-190,190,1812,10.18
 53-55,55,1947,8.58,,190-192,192,1810,8.90
 55-57,57,1945,6.92,,192-194,194,1808,9.31
 57-59,59,1943,7.68,,194-196,196,1806,11.45
 59-61,61,1941,7.52,,196-198,198,1804,10.94
 61-63,63,1939,7.86,,198-200,200,1802,9.79
 63-65,65,1937,7.27,,200-202,202,1800,9.99
 65-67,67,1935,6.88,,202-204,204,1798,9.36
 67-69,69,1933,9.58,,204-206,206,1796,8.32
 69-71,71,1931,8.28,,206-208,208,1794,11.40
 71-73,73,1929,11.00,,208-210,210,1792,8.78
 73-75,75,1927,9.58,,210-212,212,1790,8.80
 75-77,77,1925,8.13,,212-214,214,1788,9.21
 77-79,79,1923,10.78,,214-216,216,1786,11.00
 79-81,81,1921,9.82,,216-218,218,1784,10.85
 81-83,83,1919,11.65,,218-220,220,1782,9.48
 83-85,85,1917,9.60,,220-222,222,1780,9.32
 85-87,87,1915,8.93,,222-224,224,1778,10.75
 87-89,89,1913,9.16,,224-226,226,1776,14.91
 89-91,91,1911,11.50,,226-228,228,1774,11.78
 91-93,93,1909,11.28,,228-230,230,1772,10.56
 93-95,95,1907,12.67,,230-232,232,1770,9.66
 95-97,97,1905,9.68,,232-234,234,1768,11.67
 97-99,99,1903,8.38,,234-236,236,1766,12.75
 99-101,101,1901,11.82,,236-238,238,1764,12.74
 101-103,103,1899,12.36,,238-240,240,1762,12.78
 103-105,105,1897,13.05,,240-242,242,1760,14.64
 105-107,107,1895,8.03,,242-244,244,1758,13.63
 107-109,109,1893,7.74,,244-246,246,1756,17.94
 109-111,111,1891,16.60,,246-248,248,1754,18.00
 111-113,113,1889,12.39,,248-250,250,1752,15.81
 113-115,115,1887,12.42,,250-252,252,1750,12.76
 115-117,117,1885,16.31,,252-254,254,1748,10.26
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,, ,,,,,
,,, ,,,,,
