Varve range,Bottom varve,Bottom year,Dictyocha aculeata,D. brevispina,D.perlaevis,D. stapedia s.str.,D. stapedia aspinosa,D. stapedida spinosa,Distephanus octangulatus,Ds. speculum minutus,Ds.speculum ornamentatum,Ds. speculum speculum,Octactis pulchra,Reworked,Total counted,,Varve range,Bottom varve,Bottom year,Dictyocha aculeata,D. brevispina,D.perlaevis,D. stapedia s.str.,D. stapedia aspinosa,D. stapedida spinosa,Distephanus octangulatus,Ds. speculum minutus,Ds.speculum ornamentatum,Ds. speculum speculum,Octactis pulchra,Reworked,Total counted
2007,-6,2007,6,0,0,10,0,6,0,55,0,22,1,0,100,, 117-119,119,1883,6,0,0,79,0,1,0,4,0,5,3,2,100
2006,-5,2006,17,0,0,48,0,4,1,7,0,17,6,0,100,, 119-121,121,1881,24,0,2,24,0,0,0,38,0,10,2,0,50
2005,-4,2005,30,0,1,40,0,4,0,11,0,9,8,0,200,, 121-123,123,1879,34,0,0,14,0,0,0,26,0,20,6,0,50
2004,-3,2004,34,0,0,47,0,4,0,1,0,4,9,1,100,, 123-125,125,1877,18,0,0,38,0,0,0,8,2,22,12,0,50
2003,-2,2003,26,0,0,48,0,1,0,3,1,13,8,0,100,, 125-127,127,1875,26,0,0,60,0,0,0,8,0,6,0,0,50
2002,-1,2002,19,0,0,58,0,2,0,3,0,14,4,0,95,, 127-129,129,1873,19,0,0,33,0,1,0,27,0,15,4,1,100
0,0,2001,14,0,0,40,3,4,0,13,1,13,11,1,100,,129-131,131,1871,29,0,2,23,0,0,0,23,1,18,4,0,100
1,1,2000,12,0,0,50,6,6,0,2,0,7,17,0,100,,131-133,133,1869,35,0,0,55,0,0,0,3,0,6,1,0,100
2,2,1999,28,0,0,14,0,4,0,22,0,18,14,0,50,,133-135,135,1867,35,0,0,28,0,0,0,10,0,19,8,0,100
3,3,1998,20,0,0,58,2,0,0,12,0,6,2,0,50,,135-137,137,1865,27,0,0,55,0,0,0,12,0,6,0,0,49
4,4,1997,14,0,0,78,2,2,0,0,0,4,0,0,50,,137-139,139,1863,28,0,0,22,0,0,2,26,0,18,2,2,50
5,5,1996,21,0,0,71,0,2,0,0,0,4,2,0,52,,139-141,141,1861,20,0,0,9,0,0,7,48,0,16,0,0,100
6,6,1995,16,0,0,76,0,2,0,0,0,4,2,0,50,,141-143,143,1859,32,0,4,5,0,0,8,36,0,12,3,0,100
7,7,1994,22,0,0,68,0,0,0,0,0,2,8,0,50,,143-145,145,1857,39,0,2,7,0,0,6,34,0,10,2,0,100
 7-9,9,1993,24,0,0,60,4,0,0,0,0,4,8,0,50,,145-147,147,1855,27,0,2,31,0,0,0,25,0,14,1,0,100
 9-11,11,1991,18,0,0,74,0,2,0,2,0,2,2,0,50,,147-149,149,1853,32,0,0,30,0,0,0,16,0,20,2,0,50
 11-13,13,1989,36,0,0,28,0,0,0,0,0,20,16,0,50,,149-151,151,1851,24,0,0,28,0,0,0,30,2,16,0,0,50
 13-15,15,1987,30,0,0,46,0,0,0,4,0,12,8,0,50,,151-153,153,1849,22,0,0,20,0,0,0,30,0,22,4,2,50
