"year","Actinocyclus_curvatulus","Alvelus_marinus","Azpeitia_africana","A_nodulifer","A_tabularis","Coscinodiscus_radiatus","Cyclotella_spp","Delphineis_spp","Fragilariopsis_doliolus","Hemidiscus_cuneiformis","Neodenticula_seminae","Nitzschia_interruptestriata","N_sp_cf_N_sicula","Pseudonitzschia_australis","Pseudonitzschia_multiseries","Rhizosolenia_spp","Roperia_tesselata","Stephanopyxis_spp","Thalassionema_nitzschioides","Thalassiosira_eccentrica","T_lineata","T_oestrupii","T_pacifica","T_spp","Thalassiothrix_longissima","Other_planktic","Actinoptychus_spp","Paralia_sulcata"
2007,25,0,1,0,0,1,1,0,0,0,0,1,1,44,3,0,0,0,2,3,0,1,1,8,0,3,2,0
2006,1,0,0,0,0,1,1,0,0,0,0,1,0,76,4,0,0,0,2,2,0,1,1,5,0,1,3,0
2005,1,0,0,0,3,3,7,0,15,0,0,5,2,5,1,0,0,0,21,3,2,1,0,13,0,5,5,0
2004,1,0,0,0,1,1,1,0,1,0,0,1,2,27,6,1,0,0,9,6,1,0,9,21,1,4,2,0
2003,0,0,0,0,1,0,0,0,1,0,0,1,0,44,14,1,0,0,20,1,0,0,2,6,1,2,2,0
2002,0,0,0,0,0,1,1,0,6,1,0,5,0,27,26,0,0,0,10,3,0,1,0,5,0,2,2,0
2001,1,0,0,0,0,5,1,0,5,0,0,5,1,10,10,2,0,0,29,2,0,1,1,9,1,2,4,1
2000,1,0,0,0,0,4,4,0,12,1,0,5,1,4,21,0,0,0,18,3,0,1,0,10,2,4,3,0
1999,0,0,0,0,1,2,1,0,1,0,0,9,0,0,26,1,0,0,28,2,0,1,0,6,4,5,2,0
1998,0,0,0,0,3,3,0,0,1,0,0,10,0,0,1,2,1,0,44,5,0,0,1,4,1,5,1,1
1997,1,0,0,1,1,3,1,0,4,0,0,5,0,0,3,3,1,0,43,6,1,0,1,4,1,3,0,0
1996,1,0,0,0,2,10,3,0,10,0,0,4,0,0,6,5,0,0,22,4,0,0,1,5,2,3,1,1
1995,1,1,0,0,1,12,1,0,8,0,0,10,0,0,5,6,1,1,17,7,0,1,0,7,0,3,2,0
1994,0,0,0,0,2,8,2,1,21,1,0,8,0,0,1,5,1,0,19,5,1,1,1,4,2,3,1,0
1993,1,0,0,0,1,6,3,0,20,0,0,4,0,0,3,7,0,1,23,4,1,0,1,5,0,3,1,0
1991,0,0,0,0,1,7,1,0,7,0,0,8,1,0,12,10,0,0,26,2,0,0,0,4,0,5,2,0
1989,0,0,0,1,3,5,3,0,7,1,0,5,1,0,5,25,0,0,18,6,0,1,0,5,1,2,3,0
1987,1,0,0,0,0,6,4,0,16,0,0,5,3,0,3,15,1,0,9,6,0,1,0,8,0,5,2,0
1985,1,0,0,0,1,6,2,0,8,0,0,6,0,0,0,10,0,1,21,5,1,1,0,7,1,6,3,0
1983,0,1,0,1,2,3,1,0,11,0,0,6,0,0,0,3,1,0,35,5,0,1,0,6,1,6,1,0
1981,0,0,0,1,1,7,3,1,17,0,0,6,2,0,0,3,0,0,21,5,0,0,0,8,0,5,2,0
1979,1,0,0,0,1,5,5,0,15,1,0,7,1,0,0,9,0,0,16,4,0,1,0,11,1,4,4,0
1977,1,0,0,0,0,2,1,0,13,0,0,3,2,0,0,51,1,0,10,1,0,0,1,6,0,3,1,0
1975,0,0,0,0,0,2,2,0,10,0,0,8,1,0,0,30,0,0,21,4,0,1,0,4,0,4,4,0
1973,0,0,0,0,1,4,4,0,7,0,0,3,0,0,0,25,0,0,16,2,0,0,1,13,0,3,2,0
1971,0,0,0,1,2,7,5,0,8,1,0,5,1,0,1,6,0,0,16,3,1,1,0,11,2,3,3,0
1969,1,0,1,0,1,5,5,0,4,0,0,7,4,0,1,12,0,0,13,3,0,2,1,10,1,7,2,2
1967,1,0,0,0,1,4,5,0,8,0,0,9,5,0,0,8,0,0,17,7,0,1,0,9,0,6,1,1
1965,0,0,0,0,1,2,2,0,12,1,0,7,0,0,0,34,0,0,13,3,0,1,1,7,1,4,1,0
1963,2,0,0,0,1,1,1,0,7,0,0,4,1,0,1,57,0,0,6,2,0,1,1,4,0,2,2,0
1961,1,0,0,0,1,2,3,0,31,0,0,2,1,0,0,3,0,0,27,5,0,0,0,7,1,4,2,0
1959,1,0,0,0,2,2,5,0,24,0,0,4,1,0,0,4,1,0,23,3,0,0,0,7,1,3,3,0
1957,0,0,0,0,1,6,5,0,21,0,0,7,0,0,0,11,0,0,15,3,0,0,0,8,0,4,2,3
1955,0,0,0,0,0,5,5,0,17,0,0,6,0,0,0,10,0,0,21,2,0,1,0,6,1,5,4,0
1953,0,0,0,0,0,2,3,0,27,2,0,4,0,0,0,4,0,0,30,1,0,1,0,5,2,7,1,0
1951,3,0,1,0,1,9,1,0,13,0,0,5,0,0,0,3,1,0,28,4,0,1,0,4,0,5,2,0
1949,1,0,0,0,0,11,1,0,16,0,0,8,0,0,0,0,0,0,29,3,0,1,0,3,1,3,2,0
1947,0,0,0,0,1,9,4,1,11,1,0,4,0,0,0,1,1,1,35,5,1,0,0,3,2,4,2,0
1945,2,0,0,0,1,4,4,0,16,0,0,9,0,0,0,2,1,0,27,3,0,1,0,5,2,6,3,0
1943,2,0,0,0,1,7,5,0,22,0,0,5,0,0,0,1,1,0,19,3,0,1,0,6,1,6,8,0
1941,2,0,0,0,1,6,4,0,19,1,0,5,0,0,0,4,0,0,23,7,0,0,0,8,1,4,2,0
1939,1,0,0,0,0,6,8,0,12,0,0,1,0,0,0,1,1,0,33,5,1,0,1,8,2,6,2,0
1937,1,0,0,0,0,4,5,0,7,0,0,3,0,0,0,1,1,0,39,6,1,0,0,7,4,4,3,1
1935,1,0,0,0,0,7,4,0,11,0,0,4,0,0,0,0,0,0,40,3,0,0,0,5,1,1,1,0
1933,1,0,0,0,1,6,2,0,13,0,0,2,0,0,0,2,0,0,33,5,0,1,0,6,3,3,4,0
1931,1,0,0,0,0,6,3,0,17,0,0,4,2,0,0,6,0,0,28,2,0,0,0,4,1,3,2,1
1929,1,0,0,0,2,7,5,1,17,0,0,3,0,0,0,2,0,0,26,5,0,1,0,5,1,5,2,0
1927,1,0,0,0,1,7,7,0,6,0,0,4,0,0,0,3,0,0,33,3,1,0,0,6,2,2,3,0
1925,0,0,0,0,1,3,6,0,5,0,0,5,0,0,0,2,0,0,44,2,0,0,0,4,3,2,2,0
1923,1,0,0,0,1,4,13,0,8,0,0,6,0,0,0,2,0,0,27,2,0,0,0,3,4,4,2,0
1921,1,0,0,0,0,3,5,0,11,0,0,6,1,0,0,2,0,0,36,3,0,1,0,6,3,3,3,0
1919,1,0,0,0,0,5,6,0,3,0,0,7,0,0,0,2,0,0,34,7,1,0,0,4,2,5,3,0
1917,2,0,0,0,0,1,3,0,7,0,0,7,0,0,0,5,0,0,44,3,0,1,0,7,2,2,2,0
1915,1,0,1,0,0,5,7,0,6,0,0,3,0,0,0,4,0,0,33,8,0,0,1,12,1,3,4,0
1913,1,0,0,0,1,4,4,0,4,0,0,4,1,0,0,4,0,0,35,5,0,2,0,11,2,4,3,0
1911,3,0,0,0,1,5,3,0,3,0,0,4,0,0,1,4,1,0,35,7,0,1,0,9,1,2,2,0
1909,1,0,0,0,0,7,5,0,4,0,0,5,0,0,0,4,1,0,33,8,1,1,0,5,3,3,3,1
1907,3,0,1,0,2,11,3,0,11,0,0,7,1,0,0,1,0,1,22,9,0,1,0,6,1,4,2,0
1905,1,1,0,0,1,6,5,0,8,0,0,7,0,0,0,3,1,1,24,6,0,0,0,7,1,5,2,0
1903,0,0,0,0,1,3,6,0,5,0,0,10,1,0,0,9,0,0,27,4,0,1,0,6,1,4,1,0
1901,1,0,0,0,2,5,2,0,8,0,0,9,1,0,0,4,0,0,21,7,0,1,0,8,2,3,2,1
1899,1,0,0,0,3,3,3,0,3,0,0,3,0,0,0,8,1,0,32,7,0,1,0,4,2,3,2,0
1897,5,0,1,0,1,2,3,1,3,0,0,6,0,0,0,8,0,0,23,5,0,0,0,5,3,3,2,0
1895,2,0,0,0,1,2,2,0,6,0,0,5,0,0,0,9,0,1,30,6,1,0,0,3,2,2,1,0
1893,1,0,0,0,2,2,3,0,4,0,0,11,0,0,0,3,0,0,39,7,1,0,1,2,1,1,3,1
1891,9,0,0,0,0,1,3,0,2,0,0,5,1,0,0,5,0,0,35,8,0,1,0,6,4,3,3,0
1889,2,0,0,0,1,3,3,0,4,0,0,11,1,0,0,1,1,0,31,12,0,2,0,4,3,7,2,0
1887,2,0,0,0,1,4,5,0,6,0,0,8,2,0,0,3,0,0,30,8,1,1,0,10,0,4,2,0
1885,4,0,1,0,0,4,4,0,7,0,0,7,1,0,0,5,0,0,25,10,1,4,1,9,1,5,5,0
1883,2,0,0,0,0,4,1,0,4,0,0,9,1,0,0,14,0,0,35,4,1,3,0,4,1,3,1,0
1881,2,0,0,0,1,6,4,0,4,0,0,6,2,0,0,5,1,1,35,4,1,1,0,3,1,2,1,0
1879,4,0,0,0,0,2,4,0,3,0,0,6,0,0,0,8,0,0,32,10,1,0,0,2,0,4,4,0
1877,1,0,0,0,0,1,3,0,2,0,0,4,1,0,0,26,0,0,23,9,0,1,0,8,0,3,3,0
1875,0,0,0,0,0,4,2,0,2,0,0,7,0,0,0,23,0,0,26,7,1,1,0,5,1,4,2,0
1873,1,0,0,1,1,4,5,1,7,0,0,7,0,0,0,25,0,0,19,4,0,0,0,6,2,2,3,0
1871,1,0,0,0,0,3,8,0,9,0,0,6,0,0,0,12,0,0,24,7,1,0,1,8,1,3,7,0
1869,2,0,0,0,1,2,4,0,7,0,0,4,0,0,0,19,1,0,27,5,1,0,0,9,0,6,4,0
1867,1,0,0,0,1,1,0,0,3,0,0,6,1,0,1,58,0,0,12,2,0,0,0,4,0,3,1,0
1865,1,0,0,0,0,2,1,0,1,0,0,8,0,0,0,36,0,0,20,3,1,0,0,3,0,2,3,0
1863,9,0,0,0,1,2,1,0,3,0,0,6,0,0,0,7,0,0,31,10,0,2,0,4,1,3,1,1
1861,4,0,0,0,0,3,2,0,3,0,0,6,0,0,0,15,0,0,28,6,0,0,0,7,2,2,3,0
1859,1,0,0,0,1,6,4,0,13,0,0,3,0,0,0,4,0,0,21,6,1,1,1,7,3,4,6,0
1857,2,0,0,0,2,4,6,0,11,0,0,4,0,0,0,13,0,0,23,6,0,1,0,6,1,3,3,1
1855,0,0,0,0,2,2,2,0,4,0,0,5,0,0,0,27,1,0,32,5,0,0,0,3,2,2,3,0
1853,2,0,0,0,0,3,2,0,8,0,0,8,0,0,0,5,1,0,30,7,0,0,0,6,1,3,5,0
1851,1,0,0,0,1,5,4,0,7,0,0,7,1,0,0,11,0,0,34,1,0,0,0,3,3,2,3,0
1849,3,0,0,0,1,7,3,0,7,0,0,6,0,0,0,7,1,0,27,5,0,1,0,4,3,1,2,1
1847,2,0,1,1,0,6,4,0,12,1,0,6,0,0,0,2,0,0,30,3,0,1,0,4,2,3,3,2
1845,1,0,0,1,0,6,3,0,21,1,0,4,0,0,0,1,0,0,31,5,0,0,0,3,1,4,3,0
1843,1,0,0,0,1,5,6,0,24,1,0,6,0,0,0,2,0,0,29,5,0,1,0,4,2,1,3,0
1841,1,0,0,0,1,3,2,0,17,0,0,5,0,0,0,3,1,0,33,6,0,0,0,5,1,3,2,0
1839,1,0,1,0,0,1,2,0,16,0,0,5,1,0,0,1,0,0,39,5,0,0,0,6,2,2,2,0
1837,2,0,0,0,1,8,6,0,16,0,0,3,0,0,0,2,0,0,33,4,0,1,0,4,3,2,3,0
1835,1,0,1,0,0,5,5,0,11,0,0,5,1,0,0,2,0,0,33,7,0,0,1,6,1,4,2,0
1833.5,2,0,0,0,0,6,4,0,9,0,0,7,0,0,0,6,1,0,28,7,1,0,0,4,3,3,2,0
1832,2,0,0,0,1,3,6,0,15,0,0,6,0,0,0,5,1,1,25,3,0,1,0,3,3,2,3,1
1830,1,1,0,0,1,13,3,0,7,0,0,3,0,0,0,5,0,1,29,4,0,1,0,3,2,2,2,1
1828,2,0,0,0,1,9,6,0,9,0,0,2,0,0,0,4,0,0,35,5,0,0,0,1,3,1,2,0
1826,2,0,0,0,1,5,4,0,5,0,0,2,0,0,0,2,0,0,36,3,0,2,0,2,4,3,2,0
1824,2,0,0,0,2,10,4,0,4,0,0,4,0,0,0,4,0,0,37,4,0,0,0,2,3,5,1,1
1822,1,0,1,0,1,6,4,0,8,0,0,3,0,0,0,1,0,0,34,2,0,0,0,1,4,1,1,0
1820,2,0,0,0,1,9,5,0,9,0,0,4,1,0,0,3,1,0,30,1,0,0,0,3,3,2,4,1
1818,1,1,0,0,1,9,3,0,6,0,0,3,0,0,0,1,2,0,37,3,0,0,0,2,2,2,1,0
1816,0,0,0,0,5,7,5,0,7,0,0,2,0,0,0,2,2,0,31,5,0,1,0,2,4,3,2,1
1814,1,0,1,0,3,8,6,0,3,0,0,3,0,0,0,2,1,0,32,2,0,1,0,2,6,2,2,0
1812,1,0,0,0,2,6,5,0,3,0,0,4,0,0,0,11,0,0,28,3,0,1,0,2,3,4,2,0
1810,0,0,1,0,6,5,2,0,3,0,0,7,1,0,0,6,1,0,38,2,0,1,0,2,3,2,1,0
1808,4,0,0,0,6,5,1,0,5,0,0,4,0,0,0,4,0,0,35,2,0,0,0,2,1,3,3,0
1806,2,0,0,0,1,6,6,0,6,0,0,4,0,0,0,2,0,0,33,3,0,1,0,3,3,2,3,0
1804,1,0,0,0,1,3,7,0,5,0,0,11,0,0,0,6,0,0,27,3,0,1,0,4,4,4,4,0
1802,1,0,1,0,6,6,3,0,6,0,0,5,0,0,0,4,1,0,23,5,1,2,0,4,2,5,2,1
1800,2,0,0,0,4,10,3,0,2,0,0,4,0,0,0,3,0,0,34,3,0,1,0,1,3,2,1,0
1798,1,0,0,1,2,12,7,0,2,0,0,5,0,0,0,2,0,0,25,4,0,1,0,2,8,1,2,0
1796,1,0,0,0,3,6,10,0,4,0,0,6,0,0,0,5,1,1,22,6,1,1,0,3,3,3,4,0
1794,1,0,0,0,4,7,9,0,5,0,0,5,0,0,0,10,1,0,24,5,1,1,0,3,2,2,5,0
1792,1,0,0,0,3,3,4,0,4,1,0,6,1,0,0,7,1,0,29,4,0,1,0,5,2,4,2,0
1790,2,0,0,0,1,1,6,0,2,0,0,9,0,0,0,2,0,0,29,5,0,1,0,3,5,2,2,1
1788,1,0,0,0,3,3,3,0,2,0,0,5,0,0,0,3,0,0,26,5,0,1,0,2,11,2,2,0
1786,1,0,1,0,2,2,2,0,5,0,0,5,1,0,0,11,0,0,30,3,0,1,0,2,7,2,2,0
1784,0,0,1,0,2,2,0,0,18,0,0,5,0,0,0,2,0,1,33,2,1,0,0,1,7,2,3,0
1782,2,0,1,0,1,3,1,0,6,0,0,7,0,0,0,3,1,0,27,1,0,1,0,1,8,2,1,0
1780,2,0,1,0,2,2,1,0,3,0,0,6,0,0,0,3,0,0,22,2,0,0,0,4,15,3,1,0
1778,2,0,0,0,2,5,4,0,2,0,0,4,0,0,0,5,0,1,28,3,0,0,0,2,14,3,3,0
1776,1,0,1,0,1,4,3,0,2,0,0,7,2,0,0,5,1,0,28,7,0,1,0,3,15,3,5,0
1774,2,0,1,0,4,1,2,0,1,0,0,4,0,0,0,38,0,0,22,5,0,0,0,2,2,1,3,0
1772,1,0,0,0,2,3,5,0,4,0,0,12,0,0,0,10,1,0,27,6,0,1,0,2,5,3,4,0
1770,2,0,0,0,0,5,5,0,8,0,0,14,0,0,0,4,1,0,25,4,1,0,0,4,4,3,2,1
