"year","TOC","TOCdetrend"
1987,47.07,0.539634979
1986,45.85,1.361145777
1985,30.03,0.237616456
1984,32.98,0.604403715
1983,36.17,1.028868396
1982,38.28,1.305230053
1981,35.85,1.100634857
1980,35.1,1.05366847
1979,36.19,1.184833918
1978,38.35,1.419290851
1977,38.79,1.476363241
1976,38.52,1.458558647
1975,38.54,1.468131795
1974,37.26,1.344255329
1973,35.27,1.147766354
1972,38.07,1.436397364
1971,40.08,1.642861111
1970,40.11,1.649188907
1969,39.09,1.54936085
1968,40.44,1.688151459
1967,42.45,1.760728353
1966,40.57,1.704640945
1965,37.13,1.357872303
1964,36.19,1.264339999
1963,37.52,1.400977169
1962,37.46,1.395818302
1961,35.27,1.174864781
1960,35.27,1.175601518
1959,35.02,1.151583035
1958,36.16,1.268337513
1957,34.75,1.126275338
1956,36.15,1.267986154
1955,34.6,1.112121594
1954,33.2,0.970780948
1953,32.03,0.853379761
1952,32.12,0.863268347
1951,31.82,0.832947884
1950,31.26,0.777218442
1949,29.91,0.640552764
1948,29.01,0.549842115
1947,28.95,0.54450885
1946,30.62,0.713792803
1945,32.57,0.911251495
1944,33.34,0.990193118
1943,33.46,1.002882601
1942,32.68,0.924169174
1941,31.78,0.833265136
1940,30.95,0.749829916
1939,30.41,0.695546427
1938,30.28,0.682012018
1937,30.74,0.72960192
1936,31.6,0.816214379
1935,32.92,0.950531704
1934,34.19,1.079691202
1933,35.36,1.198850127
1932,36.11,1.274378813
1931,36.01,1.264831765
1930,35.13,1.175554915
1929,34.8,1.142844424
1928,35.1,1.173963402
1927,35.15,1.179147472
1926,34.24,1.087123978
1925,33.36,0.998073474
1924,32.97,0.958740041
1923,33.42,1.004742112
1922,33.67,1.030237994
1921,33.37,0.999643059
1920,33.31,0.993935057
1919,32.95,0.957764498
1918,31.28,0.789584937
1917,31.23,0.783916346
1916,31.15,0.775967826
1915,29.63,0.622764233
1914,28.77,0.536369235
1913,25.69,0.237616456
1912,24.59,0.237616456
1911,29.97,0.658125083
1910,30.39,0.700890076
1909,32.27,0.891235078
1908,30.5,0.712824488
1907,30.7,0.733461615
1906,31.5,0.814333881
1905,31.66,0.831137093
1904,32.64,0.929855605
1903,32.54,0.919689689
1902,32.07,0.87281168
1901,34.91,1.160974721
1900,34.16,1.084884519
1899,33,0.967311048
1898,32.01,0.867517454
1897,33.17,0.985496761
1896,32.03,0.87054899
1895,33.25,0.994024214
1894,30.99,0.76514988
1893,29.98,0.66319921
1892,30.39,0.704629255
1891,31.54,0.820959423
1890,31.5,0.817170625
1889,27.79,0.442079841
1888,32.69,0.938559459
1887,31.89,0.857888129
1886,30.38,0.704676335
1885,28.21,0.485117383
1884,28.24,0.488482789
1883,31.46,0.815006569
1882,32.66,0.937088678
1881,32.1,0.879899296
1880,31.98,0.868621838
1879,31.73,0.842850773
1878,30.84,0.753230237
1877,30.64,0.732725981
1876,30.19,0.688088307
1875,28.32,0.498373455
1874,29.46,0.614266259
1873,32.66,0.93856304
1872,33.84,1.058273459
1871,34.25,1.099878291
1870,31.44,0.815404068
1869,29.16,0.585018259
1868,30.13,0.683319906
1867,34.65,1.140906784
1866,36.45,1.323300866
1865,38.46,1.527572236
1864,36.37,1.316100215
1863,34.05,1.081536067
1862,32.15,0.888659641
1861,32.36,0.91027019
1860,33.6,1.036458427
1859,35.2,1.198478384
1858,35.3,1.20867909
1857,34.17,1.094734358
1856,32.61,0.936861166
1855,32.56,0.931820653
1854,33.4,1.017263709
1853,33.85,1.063095897
1852,33.05,0.981907328
1851,32.63,0.940021398
1850,33.28,1.005569313
1849,34.14,1.093615461
1848,34.65,1.145323129
1847,33.97,1.076063582
1846,31.54,0.830119538
1845,29.01,0.574393711
1844,30.03,0.677387095
1843,32.42,0.92014705
1842,33.49,1.028204187
1841,34.12,1.092348122
1840,33.87,1.068001383
1839,32.93,0.972304638
1838,32.72,0.951497918
1837,32.52,0.931481578
1836,32.44,0.923157931
1835,32.4,0.919759942
1834,32.59,0.939200033
1833,32.85,0.965208046
1832,33.1,0.990931364
1831,33.31,1.012470701
1830,33.53,1.034768534
1829,33.74,1.056121331
1828,33.91,1.074139389
1827,34.08,1.091791233
1826,34.27,1.110971818
1825,34.34,1.118075161
1824,34.79,1.164061925
1823,35.22,1.207804242
1822,35.68,1.254525134
1821,36.12,1.298696728
1820,36.42,1.329922612
1819,36.64,1.352169934
1818,37.01,1.389835074
1817,37.48,1.437628168
1816,37.93,1.483303426
1815,37.45,1.434969307
1814,36.57,1.346374213
1813,36.03,1.291706917
1812,35.69,1.257292566
1811,35.38,1.226177866
1810,35.35,1.223239265
1809,35.51,1.239635002
1808,35.95,1.283911102
1807,36.24,1.31430872
1806,36.16,1.305562493
1805,35.67,1.256898641
1804,35.5,1.239482725
1803,36.16,1.30623366
1802,37.07,1.398823156
1801,36.93,1.384926582
1800,36.32,1.323387747
1799,36.39,1.330590789
1798,36.22,1.313562495
1797,36.16,1.307609149
1796,36.11,1.302880238
1795,36.01,1.292942444
1794,35.55,1.246545755
1793,35.14,1.205208986
1792,35.06,1.197296676
1791,34.86,1.177598348
1790,34.52,1.142479056
1789,34.58,1.149252264
1788,35.1,1.201924619
1787,34.34,1.125324891
1786,33.94,1.085002691
1785,34,1.091269358
1784,34.1,1.101587199
1783,33.58,1.049111272
1782,33.47,1.03782294
1781,33.35,1.026275298
1780,32.81,0.971848619
1779,32.39,0.928929368
1778,32.35,0.925944878
1777,32.61,0.95163684
1776,33.57,1.04942611
1775,35.22,1.216728018
1774,34.76,1.17060513
1773,34.55,1.14924928
1772,34.08,1.101836028
1771,33.3,1.023027908
1770,32.61,0.952997719
1769,32.24,0.916049675
1768,31.38,0.828862567
1767,30.84,0.774973332
1766,30.69,0.759970613
1765,34.36,1.131521046
1764,29.05,0.593912349
1763,25.67,0.252050948
1762,26.1,0.29551417
1761,27.49,0.436482876
1760,27.21,0.408649844
1759,29.78,0.668455653
1758,34.89,1.186232287
1757,34.55,1.152277817
1756,37.05,1.406039161
1755,38.07,1.509164389
1754,37.74,1.476434338
1753,37.75,1.476864424
1752,38.06,1.508716679
1751,38.94,1.598032274
1750,36.36,1.337185672
1749,34.82,1.180633371
1748,36.4,1.341684679
1747,37.33,1.435286383
1746,36.34,1.335371954
1745,36.9,1.39255427
1744,33.93,1.0919409
1743,33.87,1.085685305
1742,33.15,1.013320044
1741,33.26,1.024179762
1740,34.72,1.172365313
1739,35.3,1.231638971
1738,34.49,1.149790782
1737,34.34,1.134787523
1736,34.46,1.147129909
1735,34.16,1.116934589
1734,34.21,1.122187331
1733,33.76,1.07679995
1732,33.31,1.031412556
1731,35.5,1.253404927
1730,35,1.202953495
1729,34.03,1.104900348
1728,34.63,1.165857131
1727,36.44,1.349362968
1726,34.48,1.151042365
1725,32.7,0.97095219
1724,33.96,1.09875387
1723,35.49,1.253901197
1722,35.27,1.231808129
1721,34.38,1.141520039
1720,35.33,1.238255991
1719,35.26,1.231360998
1718,34.58,1.162522
1717,34.63,1.168269796
1716,34.43,1.148254931
1715,32.27,0.928902354
1714,30.44,0.743793622
1713,32.73,0.976036356
1712,35.83,1.290612809
1711,37.43,1.452140662
1710,36.9,1.399157
1709,36.11,1.31933407
1708,35.15,1.222753306
1707,36.75,1.38453027
1706,34.81,1.18823506
1705,32.96,1.001392324
1704,33.33,1.03871714
1703,36.01,1.310336517
1702,36.37,1.346985776
1701,36.07,1.316585496
1700,35.57,1.266415308
1699,36.57,1.368122904
1698,36.78,1.389264102
1697,34.39,1.147055454
1696,34.82,1.191334102
1695,34.7,1.179572372
1694,34.71,1.180028067
1693,35.2,1.23018297
1692,34.16,1.125039842
1691,35.3,1.240284489
1690,35.51,1.262144715
1689,34.73,1.183334422
1688,34.74,1.184535494
1687,33.03,1.011534583
1686,30.97,0.802675402
1685,33.58,1.067615209
1684,33.73,1.082995485
1683,32.99,1.008236358
1682,35.5,1.262975201
1681,32.16,0.924405398
1680,34,1.11119938
1679,33.91,1.102167039
1678,35.56,1.269467604
1677,36.89,1.404358493
1676,35.43,1.256677564
1675,34.42,1.154911004
1674,34.09,1.121338435
1673,33.99,1.111220333
1672,33.79,1.091422875
1671,33.64,1.076326839
1670,31.76,0.88631682
1669,31.44,0.853886663
1668,33.67,1.080254807
1667,33.66,1.079105035
1666,32.8,0.99219218
1665,30.7,0.779691848
1664,28.5,0.556967273
1663,33.46,1.059601495
1662,32.1,0.921848988
1661,32.83,0.996171178
1660,33.05,1.01864093
1659,34.25,1.140022964
1658,33.14,1.028132341
1657,32.36,0.949154745
1656,31.8,0.89245373
1655,31.82,0.895006702
1654,32.01,0.914806678
1653,31.43,0.85588356
1652,30.42,0.753776578
1651,32.15,0.929031548
1650,33.48,1.064409454
1649,32.99,1.014295672
1648,34.2,1.137605018
1647,34.52,1.169630498
1646,33.39,1.056021095
1645,33.3,1.047119229
1644,33.34,1.051358469
1643,33.71,1.088683926
1642,35.18,1.237426735
1641,32.92,1.008759944
1640,33.35,1.052784063
1639,32.89,1.006817664
1638,32.71,0.988680028
1637,32.95,1.01283802
1636,32.58,0.975552338
1635,32.46,0.964003981
1634,32.89,1.007325192
1633,33.53,1.072621169
1632,33.37,1.056315669
1631,32.8,0.998440713
1630,31.97,0.914899319
1629,33.25,1.044912329
1628,33.81,1.102066371
1627,33.22,1.041987543
1626,31.99,0.917833781
1625,31.42,0.860212005
1624,31.73,0.891719856
1623,31.44,0.862875835
1622,30.89,0.807357638
1621,31.59,0.878106501
1620,31.27,0.845609293
1619,30.2,0.737196479
1618,29.36,0.652666552
1617,29.04,0.620390125
1616,30.46,0.764611694
1615,34.81,1.205354397
1614,33.2,1.042481169
1613,32.04,0.925184037
1612,30.1,0.728888331
1611,29.97,0.715910832
1610,29.85,0.704348215
1609,26.79,0.394142638
1608,25.04,0.237616456
1607,27.58,0.474316123
1606,24.67,0.237616456
1605,22.62,0.237616456
1604,35.28,1.255019071
1603,33.53,1.077464232
1602,33.73,1.098164406
1601,36.61,1.390063635
1600,38.73,1.605047624
1599,37.41,1.471352173
1598,37.2,1.450439334
1597,36.62,1.392053824
1596,36.02,1.331859447
1595,36.07,1.337209574
1594,36.37,1.367297392
1593,35.89,1.318870757
1592,35.45,1.274495327
1591,36.1,1.340259096
1590,37.02,1.434313466
1589,37.23,1.455337705
1588,36,1.330950894
1587,34.94,1.223938701
1586,35.15,1.245237404
1585,35.58,1.288833957
1584,36.02,1.333567885
1583,36.28,1.359929579
1582,36.36,1.368684718
1581,35.36,1.267446497
1580,33.44,1.073176317
1579,32.95,1.024075124
1578,33.17,1.046383573
1577,33.77,1.107602868
1576,34.57,1.188374307
1575,35.25,1.257432686
1574,35.1,1.242428482
1573,34.84,1.216283451
1572,34.65,1.197228034
1571,34.66,1.198428659
1570,34.45,1.177347633
1569,34.08,1.140398021
1568,33.5,1.081507061
1567,32.09,0.938889767
1566,32.24,0.954262523
1565,33.86,1.118825092
1564,34.56,1.189615343
1563,34.91,1.225196536
1562,34.67,1.201224959
1561,34.31,1.164858706
1560,35.55,1.290397998
1559,36.08,1.344344326
1558,35.57,1.293232682
1557,35.55,1.291084957
1556,35.87,1.323794844
1555,34.97,1.232830441
1554,31.94,0.926139169
1553,33.2,1.054402887
1552,34.23,1.158446451
1551,32.79,1.012790723
1550,32.32,0.965376806
1549,31.89,0.921675821
1548,32.27,0.960239692
1547,32.82,1.016580265
1546,31.92,0.925615848
1545,31.19,0.851869066
1544,31.19,0.85171958
1543,30.74,0.806956155
1542,33.37,1.07322327
1541,31.38,0.872093313
1540,32.24,0.959152166
1539,31.52,0.885911777
1538,31.02,0.8363031
1537,31.86,0.921228988
1536,31.02,0.836341369
1535,30.41,0.774545639
1534,30.44,0.77822453
1533,30.29,0.763472447
1532,28.25,0.556546209
1531,29.58,0.691623015
1530,30.03,0.737200516
1529,30.47,0.781951568
1528,29.08,0.641357792
1527,29.83,0.717073244
1526,31.02,0.837868519
1525,31.86,0.923482084
1524,30.58,0.79402305
1523,30.45,0.781405941
1522,31.36,0.87309834
1521,32.18,0.956305482
1520,32.24,0.962907303
1519,31.92,0.930685376
1518,31.83,0.921419623
1517,30.54,0.791178698
1516,30.13,0.749801036
1515,29.88,0.725059661
1514,30.66,0.804424223
1513,31.5,0.889274121
1512,32.19,0.959345207
1511,31.63,0.902811968
1510,31.12,0.851349827
1509,31,0.839384946
1508,31.1,0.849700699
1507,31.39,0.879259692
1506,31.66,0.90679308
1505,31.43,0.883686357
1504,29.77,0.71574892
1503,28.37,0.574144338
1502,29.94,0.733342007
1501,31.99,0.94105999
1500,33.27,1.070980583
1499,30.58,0.798724515
1498,29.22,0.661170124
1497,28.66,0.604333029
1496,28.81,0.619633782
1495,29.18,0.657683084
1494,28.16,0.554564976
1493,27.14,0.451446868
1492,28.22,0.56101722
1491,30.47,0.788719805
1490,31.89,0.932687956
1489,30.92,0.83503695
1488,30.77,0.820537003
1487,31.39,0.883302722
1486,32.12,0.957136343
1485,31.66,0.91073515
1484,31.61,0.905634004
1483,31.63,0.908459047
1482,31.38,0.883083625
1481,30.72,0.816375745
1480,29.51,0.693921205
1479,26.39,0.378098419
1478,22.43,0.237616456
1477,25.55,0.293436924
1476,28.96,0.638975993
1475,31.09,0.854882457
1474,32.7,1.017791007
1473,33.69,1.118716062
1472,34.63,1.213973475
1471,35.33,1.284653216
1470,35.26,1.277711797
1469,34.37,1.187865428
1468,33.28,1.077998996
1467,33,1.050334629
1466,33.78,1.129017529
1465,34.55,1.207188964
1464,34.67,1.219529268
1463,34.51,1.203343997
1462,34.64,1.217036391
1461,34.19,1.170972441
1460,34.29,1.181793539
1459,35.13,1.267274362
1458,35.87,1.342192671
1457,35.98,1.353474592
1456,35.36,1.291347596
1455,34.47,1.20059577
1454,34.36,1.190010277
1453,33.75,1.128772519
1452,33.09,1.061761788
1451,32.07,0.958641619
1450,31.72,0.923439965
1449,32.78,1.030925935
1448,33.55,1.108731736
1447,33.51,1.104755784
1446,32.55,1.008508488
1445,31.53,0.904996361
1444,32.12,0.965243207
1443,32.74,1.028467691
1442,32.88,1.04283561
1441,33.85,1.141231674
1440,33.53,1.108285524
1439,33.33,1.088506815
1438,31.47,0.900313279
1437,30.98,0.851323327
1436,31.12,0.865396517
1435,30.69,0.821408794
1434,29.87,0.739015611
1433,30.39,0.792126246
1432,31.9,0.945076895
1431,31.67,0.921883012
1430,30.83,0.836659045
1429,30.37,0.790830044
1428,29.89,0.742164183
1427,29.27,0.679744469
1426,28.67,0.619208565
1425,28.36,0.587771481
1424,29.51,0.704705867
1423,30.4,0.794758456
1422,29.96,0.750382822
1421,29.25,0.678661529
1420,28.72,0.625507937
1419,26.03,0.352808201
1418,27.1,0.461674601
1417,29.4,0.694806765
1416,32.65,1.023952577
1415,34.26,1.187201389
1414,34.27,1.18840185
1413,33.08,1.068066046
