"year","odr_comp","odr_bath","odr_myct","odr_merl","odr_engr","odr_seba","sst_proxy","prod_proxy"
40,0.28973275,0.12254403,0.052247333,0.028735348,0,0,0.327266738,-0.382615
50,0.099266734,0.038313797,0.02263914,0,0,0.019156899,0.352889597,-0.4311
60,0.083436792,0.003971615,0.010997241,0,0,0.03015414,0.377046538,-0.4223123
70,0.069818395,0.015185284,0.027316555,0,0,0.008159657,0.311057354,-0.1579451
80,0.19629554,0.061350185,0.048862118,0.019156899,0.014769822,0,0.131613856,0.06886668
90,0.15264182,0.053591206,0.038605506,0.015793474,0.023543974,0,0.038020431,0.05912647
100,0.20180422,0.07428782,0.10163265,0.003363425,0.019156899,0,0.104874007,-0.1382881
110,0.12696623,0.040653571,0.021625607,0,0.008532478,0.019156899,0.191139614,-0.1752868
120,0.059720781,0,0.019533665,0,0.01062442,0,0.177305598,-0.06773325
130,0.19465995,0.059664233,0.076250827,0,0.000731179,0,0.112739328,0.05246218
140,0.2427907,0.13512699,0.030278443,0,0.029547264,0.019156899,0.027362398,0.1003477
150,0.1429077,0.050311416,0.065506049,0,0.02709023,0,-0.032909174,0.1335203
160,0.307408,0.17489048,0.042115929,0,0.038415819,0,0.000696639,0.1308712
170,0.25682172,0.001458647,0.089059401,0.057470695,0.019156899,0,0.035113507,0.1110341
180,0.40523693,0.12385458,0.11786435,0,0.047226987,0,0.147456105,0.04071666
190,0.19815264,0.030158085,0.04066045,0.019156899,0.050904158,0.011509254,0.182269425,0.03873419
200,0.32130282,0.068471882,0.035967144,0.011758665,0.089226355,0.038563207,0.217082745,0.04605749
210,0.26319497,0.064868929,0.020354204,0.007398234,0.042525281,0.007398234,0.251896065,0.05338079
220,0.082320354,0,0.056273389,0,0,0,0.225836364,0.07109228
230,0.1085323,0,0.006448427,0,0.019156899,0,0.119029512,0.1245986
240,0.072543665,0.019156899,0.03186537,0,0,0,0.099733258,0.1773764
250,0.21240878,0.047607699,0.10601876,0,0,0.029391161,0.017649502,0.1929137
260,0.12884377,0.05596943,0.008922636,0,0,0.008922636,-0.066914426,0.2003686
270,0.099432972,0.03052116,0,0.009616876,0,0,-0.151478354,0.2078235
280,0.14488236,0.027731804,0.036040945,0.009540022,0.019156899,0,-0.236042282,0.2152785
290,0.056415561,0.029738892,0.002272852,0,0,0.001136426,-0.32060621,0.2227334
300,0.047664909,0,0,0,0,0.018020472,-0.405170138,0.2301883
310,0.083112093,0.043762789,0.019156899,0.019156899,0,0.001035508,-0.489734065,0.2376433
320,0.11425681,0.029850685,0.023563919,0.004407021,0.019156899,0.018121391,-0.564435418,0.2204162
330,0.1334346,0.062256002,0.033906776,0.014749878,0,0,-0.3961128,0.08987111
340,0.22344534,0.058022587,0.053846417,0,0,0.038313797,-0.227790181,-0.05924953
350,0.15839971,0.056428724,0.043219182,0.019156899,0,0,-0.059467563,-0.2072273
360,0.053627374,0.017875791,0.017875791,0,0,0,0.02289712,-0.2996049
370,0.05666786,0.019156899,0.019156899,0,0,0,0.051903798,-0.3549072
380,0.054583918,0.017312092,0.019156899,0.017312092,0,0,0.080910476,-0.4102095
390,0.1618426,0.093236421,0.020537576,0.001844806,0.004708051,0,0.109917154,-0.4655118
